인덱스,팀명,YEAR,종합순위,ERA(투수),G(투수),W(투수),L(투수),SV(투수),HLD(투수),WPCT(투수),IP(투수),H(투수),HR(투수),BB(투수),HBP(투수),SO(투수),R(투수),ER(투수),WHIP(투수),CG(투수),SHO(투수),QS(투수),BSV(투수),TBF(투수),NP(투수),AVG(투수),2B(투수),3B(투수),SAC(투수),SF(투수),IBB(투수),WP(투수),BK(투수),AVG(타자),PA(타자),AB(타자),R(타자),H(타자),2B(타자),3B(타자),HR(타자),TB(타자),RBI(타자),SAC(타자),SF(타자),BB(타자),IBB(타자),HBP(타자),SO(타자),GDP(타자),SLG(타자),OBP(타자),OPS(타자),MH(타자),RISP(타자),PH-BA(타자),E(수비),PKO(수비),PO(수비),A(수비),DP(수비),FPCT(수비),PB(수비),SB(수비),CS(수비),CS%(수비),SBA(수비),SB(주루),CS(주루),SB%(주루),OOB(주루),PKO(주루),순위등락,ERA(투수)_현재성장,G(투수)_현재성장,W(투수)_현재성장,L(투수)_현재성장,SV(투수)_현재성장,HLD(투수)_현재성장,WPCT(투수)_현재성장,IP(투수)_현재성장,H(투수)_현재성장,HR(투수)_현재성장,BB(투수)_현재성장,HBP(투수)_현재성장,SO(투수)_현재성장,R(투수)_현재성장,ER(투수)_현재성장,WHIP(투수)_현재성장,CG(투수)_현재성장,SHO(투수)_현재성장,QS(투수)_현재성장,BSV(투수)_현재성장,TBF(투수)_현재성장,NP(투수)_현재성장,AVG(투수)_현재성장,2B(투수)_현재성장,3B(투수)_현재성장,SAC(투수)_현재성장,SF(투수)_현재성장,IBB(투수)_현재성장,WP(투수)_현재성장,BK(투수)_현재성장,AVG(타자)_현재성장,PA(타자)_현재성장,AB(타자)_현재성장,R(타자)_현재성장,H(타자)_현재성장,2B(타자)_현재성장,3B(타자)_현재성장,HR(타자)_현재성장,TB(타자)_현재성장,RBI(타자)_현재성장,SAC(타자)_현재성장,SF(타자)_현재성장,BB(타자)_현재성장,IBB(타자)_현재성장,HBP(타자)_현재성장,SO(타자)_현재성장,GDP(타자)_현재성장,SLG(타자)_현재성장,OBP(타자)_현재성장,OPS(타자)_현재성장,MH(타자)_현재성장,RISP(타자)_현재성장,PH-BA(타자)_현재성장,E(수비)_현재성장,PKO(수비)_현재성장,PO(수비)_현재성장,A(수비)_현재성장,DP(수비)_현재성장,FPCT(수비)_현재성장,PB(수비)_현재성장,SB(수비)_현재성장,CS(수비)_현재성장,CS%(수비)_현재성장,SBA(수비)_현재성장,SB(주루)_현재성장,CS(주루)_현재성장,SB%(주루)_현재성장,OOB(주루)_현재성장,PKO(주루)_현재성장,ERA(투수)_1년전성장,G(투수)_1년전성장,W(투수)_1년전성장,L(투수)_1년전성장,SV(투수)_1년전성장,HLD(투수)_1년전성장,WPCT(투수)_1년전성장,IP(투수)_1년전성장,H(투수)_1년전성장,HR(투수)_1년전성장,BB(투수)_1년전성장,HBP(투수)_1년전성장,SO(투수)_1년전성장,R(투수)_1년전성장,ER(투수)_1년전성장,WHIP(투수)_1년전성장,CG(투수)_1년전성장,SHO(투수)_1년전성장,QS(투수)_1년전성장,BSV(투수)_1년전성장,TBF(투수)_1년전성장,NP(투수)_1년전성장,AVG(투수)_1년전성장,2B(투수)_1년전성장,3B(투수)_1년전성장,SAC(투수)_1년전성장,SF(투수)_1년전성장,IBB(투수)_1년전성장,WP(투수)_1년전성장,BK(투수)_1년전성장,AVG(타자)_1년전성장,PA(타자)_1년전성장,AB(타자)_1년전성장,R(타자)_1년전성장,H(타자)_1년전성장,2B(타자)_1년전성장,3B(타자)_1년전성장,HR(타자)_1년전성장,TB(타자)_1년전성장,RBI(타자)_1년전성장,SAC(타자)_1년전성장,SF(타자)_1년전성장,BB(타자)_1년전성장,IBB(타자)_1년전성장,HBP(타자)_1년전성장,SO(타자)_1년전성장,GDP(타자)_1년전성장,SLG(타자)_1년전성장,OBP(타자)_1년전성장,OPS(타자)_1년전성장,MH(타자)_1년전성장,RISP(타자)_1년전성장,PH-BA(타자)_1년전성장,E(수비)_1년전성장,PKO(수비)_1년전성장,PO(수비)_1년전성장,A(수비)_1년전성장,DP(수비)_1년전성장,FPCT(수비)_1년전성장,PB(수비)_1년전성장,SB(수비)_1년전성장,CS(수비)_1년전성장,CS%(수비)_1년전성장,SBA(수비)_1년전성장,SB(주루)_1년전성장,CS(주루)_1년전성장,SB%(주루)_1년전성장,OOB(주루)_1년전성장,PKO(주루)_1년전성장,순위등락_1년전성장
2013삼성,삼성,2013,1,3.98,128,75,51,0,49,0.595,1146 2/3,1119,98,411,60,955,545,507,1.33,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4,0.283,5042,4370,669,1235,212,17,113,1820,624,84,41,453,9,93,818,98,0.416,0.359,0.775,128,0.298,0.208,76,12,3440,1226,113,0.984,8,128,46,26.4,136,95,41,69.9,58,6,0,0.59,-5,-5,0,0,-22,-0.016,-41,34,33,27,23,70,72,59,0.09,-1,-8,3,2,-45,176,0.012,-2,0,-12,-14,-2,-2,-1,0.011,-119,-66,41,30,12,-9,24,96,39,-7,-6,-47,-10,7,5,7,0.027,0.006,0.033,-4,0.025,0.039,9,-1,-123,-111,8,-0.003,1,6,-3,-2.3,-37,-30,-7,-2.4,-5,-2,0.04,0,1,1,0,-3,-0.001,-8.666666667,-106,-27,-11,-1,44,-40,3,-0.09,2,1,2,-3,-136,-304,-0.016,13,2,-5,13,6,6,0,0.013,16,-1,3,55,7,6,-6,56,0,18,4,-22,-4,17,-127,-6,0.013,0.01,0.023,0,0.011,0.002,-8,8,-26,39,-10,0.002,1,31,-1,-6.8,-36,-33,-3,-3.3,9,-1,0
2013두산,두산,2013,2,4.57,128,71,54,0,42,0.568,1150 1/3,1183,84,514,76,848,625,584,1.48,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6,0.289,5142,4401,699,1271,217,37,95,1847,654,82,56,524,19,79,717,105,0.42,0.37,0.79,128,0.289,0.295,61,6,3451,1372,133,0.988,8,114,59,34.1,233,172,61,73.8,53,15,1,0.99,-5,3,-8,0,-5,0.045,-43,130,18,23,19,46,106,109,0.19,-8,-4,-36,3,31,492,0.029,9,7,-32,5,-7,-2,2,0.029,204,22,175,132,45,11,36,307,164,-20,16,162,7,25,58,-24,0.068,0.048,0.116,-4,0.003,0.094,-17,-5,-129,-100,9,0.003,-4,13,-9,-6.1,66,56,10,4.3,-9,5,-0.68,0,7,-8,0,1,0.057,4.666666667,-178,-30,15,-18,-53,-100,-88,-0.15,5,5,29,2,-158,-866,-0.033,0,-7,-11,-11,-2,-13,-2,-0.011,-266,-119,-90,-82,-24,-1,-33,-207,-88,29,1,-151,-5,-27,-140,11,-0.036,-0.032,-0.068,-1,0.007,0.011,-3,2,14,9,-8,0.001,6,5,-3,-2.3,-20,-14,-6,0,-8,7,2
2013LG,LG,2013,3,3.72,128,74,54,0,86,0.578,1134 2/3,1131,74,406,87,822,510,469,1.35,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2,0.282,4934,4291,616,1210,194,38,59,1657,574,91,42,451,11,59,806,80,0.386,0.355,0.741,128,0.295,0.252,77,14,3404,1436,165,0.984,8,123,51,29.3,210,139,71,66.2,69,17,4,-0.3,-5,17,-18,0,22,0.136,-67.33333333,-104,9,-16,16,87,-70,-68,-0.03,3,-2,7,1,-340,-472,-0.006,-20,-15,-57,-3,4,-11,-4,0.021,-246,-248,72,26,-18,20,0,48,62,11,-8,-7,-8,6,-51,-27,0.032,0.023,0.055,-4,0.042,0.055,-19,2,-202,-122,40,0.002,0,-3,-14,-4.7,13,-1,14,-4.9,8,11,-0.13,0,-2,0,0,14,-0.008,8.333333333,62,-15,-90,0,-92,-40,-13,-0.03,-1,0,-9,-5,-21,-585,0.011,-3,7,18,7,3,5,0,-0.005,22,17,-35,-19,20,3,-35,-98,-27,-6,13,-5,4,4,-1,1,-0.023,-0.006,-0.029,-1,-0.018,0.028,-1,1,25,141,-6,0.001,-12,16,14,2.3,29,24,5,2.1,8,2,-1
2013넥센,넥센,2013,4,4.12,128,72,54,0,70,0.571,1146 1/3,1160,75,503,84,860,576,525,1.45,0,7,53,12,4996,19638,0.27,202,21,71,37,8,52,3,0.272,5015,4294,646,1167,209,11,125,1773,607,76,42,505,12,98,912,94,0.413,0.358,0.771,127,0.28,0.2,97,15,3439,1463,142,0.981,11,133,65,32.8,196,131,65,66.8,55,14,2,0.29,-5,11,-15,0,36,0.102,-41,29,-5,-32,10,7,25,20,0.05,-3,1,-11,1,-120,-105,0.011,0,3,-33,-6,-1,-10,3,0.029,-6,-44,97,111,20,-17,23,166,98,-16,-1,29,-5,26,20,15,0.043,0.033,0.076,-5,0.019,0.046,19,3,-123,-47,-3,-0.004,4,-37,11,8.7,-55,-48,-7,-4.5,2,-2,-0.53,0,10,-11,0,-32,0.08,16,-36,-1,-66,-2,23,-71,-63,-0.11,3,-4,20,-2,-79,-867,-0.009,8,-2,-11,-3,-7,-11,-1,-0.002,32,-5,37,-9,2,5,23,72,37,-11,11,16,1,21,-100,-15,0.017,0.002,0.019,0,0.009,-0.058,-18,4,48,15,3,0.004,-7,-5,-14,-3.9,97,80,17,7,6,5,2
2013롯데,롯데,2013,5,3.93,128,66,58,0,64,0.532,1149 1/3,1148,84,489,62,820,553,502,1.42,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0,0.261,4978,4289,556,1118,208,18,61,1545,522,74,41,502,22,72,862,92,0.36,0.345,0.705,128,0.259,0.279,98,26,3448,1449,114,0.98,2,113,66,36.9,191,133,58,69.6,66,12,-1,0.45,-5,1,-4,0,1,0.02,-41,3,10,20,9,-5,35,42,0.06,-2,2,11,6,-84,-118,0.008,18,6,-2,6,-5,-20,-1,-0.002,-65,-192,47,-61,6,2,-12,-87,43,-33,15,127,3,18,-28,1,-0.004,0.019,0.015,-5,-0.002,0.085,15,18,-123,-20,-5,-0.004,-2,4,5,1,19,14,5,0.4,20,5,-0.72,0,-7,6,0,18,-0.051,3.333333333,-111,-39,39,-5,38,-101,-94,-0.06,0,3,-10,0,-44,-88,-0.021,-40,-6,-6,-1,1,3,-3,-0.025,-191,-118,-204,-145,-24,-14,-38,-311,-187,46,-18,-91,0,-10,54,-33,-0.058,-0.032,-0.09,0,-0.029,-0.035,-23,-2,10,-107,-46,0.004,-3,21,1,-4.6,2,7,-5,3.3,-10,2,-1
2013SK,SK,2013,6,4.16,128,62,63,0,38,0.496,1139,1091,101,505,70,878,571,527,1.4,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5,0.265,4950,4278,588,1134,189,20,124,1735,558,83,37,465,26,86,918,99,0.406,0.346,0.752,128,0.266,0.245,84,14,3417,1350,128,0.983,11,81,47,36.7,207,144,63,69.6,42,13,-4,0.34,-5,-9,4,0,-31,-0.05,-42.33333333,-23,11,48,0,64,43,25,0.07,4,-2,11,2,-75,30,0.001,16,-7,-17,10,-11,31,-2,0.007,-46,-69,24,14,-8,5,16,64,35,-35,9,20,7,28,54,14,0.022,0.013,0.035,-3,0.01,0.048,21,5,-127,-64,-15,-0.004,5,-14,-7,0.5,28,40,-12,11.5,-15,9,0.23,0,0,0,0,6,0,-11,113,-3,-84,5,-192,6,26,0.04,-1,1,20,0,-25,-1052,0.023,52,3,-7,-3,2,-29,4,-0.005,-128,-57,-20,-37,-7,-3,8,-26,-38,-29,-8,-25,4,-9,-27,-3,-0.001,-0.007,-0.008,-2,-0.007,-0.041,-5,4,-33,36,19,0.001,0,2,-10,-4.6,13,-1,14,-5.2,11,-5,0
2013NC,NC,2013,7,3.96,128,52,72,0,31,0.419,1144 1/3,1077,96,458,94,857,551,503,1.34,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6,0.244,4866,4282,512,1045,209,25,86,1562,485,55,31,434,11,62,955,94,0.365,0.32,0.685,127,0.257,0.176,93,10,3433,1373,121,0.981,8,87,55,38.7,189,142,47,75.1,35,19,,0.07,0.85840708,0.849557522,0.212389381,2.734513274,2.628318584,0.002283186,7.542772861,21.15044248,0.911504425,7.097345133,-0.761061947,4.769911504,14.85840708,13.80530973,0.013893805,-0.247787611,-0.123893805,-0.132743363,1.115044248,49.42477876,196.4778761,0.00199115,3.03539823,0.522123894,-0.513274336,1.185840708,-0.601769912,1.477876106,0.203539823,0.002477876,52.54867257,41.98230088,16.99115044,23.38938053,3.097345133,0.362831858,1.327433628,31.19469027,15.76106195,0.132743363,1.451327434,8.911504425,-0.451327434,0.123893805,1.681415929,1.539823009,0.002831858,0.002654867,0.005486726,0.867256637,0.002849558,0.005017699,0.814159292,0.008849558,22.62831858,6.309734513,1.03539823,-6.19E-05,-0.159292035,0.03539823,0.008849558,-0.045132743,-0.415929204,-0.610619469,0.194690265,-0.14159292,0.85840708,0.07079646,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2013KIA,KIA,2013,8,5.12,128,51,74,0,50,0.408,1142 1/3,1307,88,532,76,923,711,650,1.61,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6,0.261,5051,4318,587,1125,195,13,88,1610,545,78,42,537,8,75,864,110,0.373,0.349,0.722,127,0.258,0.24,71,10,3427,1318,103,0.985,10,193,57,22.8,188,141,47,75,50,7,-3,1.22,-5,-11,9,0,17,-0.08,-41.33333333,146,19,80,8,101,147,137,0.25,-9,-12,-26,-6,99,965,0.031,30,5,-33,10,-1,17,0,0.005,-80,-30,34,13,-2,-6,34,101,27,-54,-5,-7,-10,15,74,10,0.026,0.006,0.032,-5,-0.009,0.062,-17,3,-124,-180,-19,0.002,3,86,8,-8.6,5,9,-4,2.9,-1,-1,-0.2,0,-8,2,0,-4,-0.038,20,44,-18,-5,-8,-98,-16,-17,0.01,4,5,15,8,110,17,0.005,22,5,20,13,-1,5,0,-0.013,2,-25,-74,-65,-7,4,-52,-220,-79,23,13,-10,7,1,8,-10,-0.048,-0.014,-0.062,-1,-0.013,-0.025,21,-1,60,98,-4,-0.003,2,-13,1,2.8,32,19,13,-2.7,3,1,-1
2013한화,한화,2013,9,5.31,128,42,85,0,34,0.331,1129,1195,98,532,95,822,711,666,1.53,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8,0.259,4915,4271,480,1106,212,13,47,1485,448,54,30,479,11,80,933,140,0.348,0.343,0.691,128,0.253,0.211,74,5,3387,1301,103,0.984,12,159,56,26,119,70,49,58.8,56,9,-1,0.76,-5,-11,8,0,-20,-0.077,-43.33333333,47,-8,44,27,-114,64,73,0.13,-1,-4,-26,-4,-19,-130,0.013,41,18,-43,-4,-1,7,5,0.01,-142,-60,-29,29,4,1,-24,-37,-31,-46,3,-59,-6,19,26,38,-0.003,0.005,0.002,-5,0,-0.008,1,2,-130,-127,-1,-0.001,3,-6,-4,-0.7,-41,-37,-4,-8.1,6,-7,-0.56,0,-6,5,0,18,-0.042,-2.666666667,-125,-22,-36,13,-2,-80,-74,-0.13,-1,0,16,0,-188,-841,-0.015,-37,-4,42,3,8,-9,1,-0.006,-28,-36,-59,-35,48,-2,-22,-57,-57,-30,2,50,3,-13,1,9,-0.011,0,-0.011,0,-0.034,0.007,-9,-1,-8,144,0,0.002,3,29,24,5.8,-16,7,-23,10.1,8,3,-2
2012삼성,삼성,2012,1,3.39,133,80,51,0,71,0.611,1187 2/3,1085,65,384,37,885,473,448,1.24,3,13,67,5,4941,19074,0.247,196,21,82,43,14,46,5,0.272,5161,4436,628,1205,200,26,89,1724,585,91,47,500,19,86,813,91,0.389,0.353,0.742,132,0.273,0.169,67,13,3563,1337,105,0.987,7,122,49,28.7,173,125,48,72.3,63,8,0,0.04,0,1,1,0,-3,-0.001,-8.666666667,-106,-27,-11,-1,44,-40,3,-0.09,2,1,2,-3,-136,-304,-0.016,13,2,-5,13,6,6,0,0.013,16,-1,3,55,7,6,-6,56,0,18,4,-22,-4,17,-127,-6,0.013,0.01,0.023,0,0.011,0.002,-8,8,-26,39,-10,0.002,1,31,-1,-6.8,-36,-33,-3,-3.3,9,-1,-0.59,0,0,-2,0,30,0.009,2.666666667,23,-11,-58,-16,-110,-62,-78,-0.03,-1,5,30,-4,-42,-433,0.003,-20,-1,3,-8,-3,-21,2,-0.013,-142,1,-56,-57,-19,6,-23,-133,-45,-38,-1,-99,-6,-6,24,-14,-0.03,-0.025,-0.055,-1,-0.003,-0.08,-17,-7,8,-71,-3,0.003,0,-43,-15,2.8,-4,0,-4,1.4,0,1,1
2012SK,SK,2012,2,3.82,133,71,59,0,69,0.546,1181 1/3,1114,90,457,70,814,528,502,1.33,0,10,54,15,5007,19078,0.256,201,19,92,32,26,35,7,0.258,4996,4347,564,1120,197,15,108,1671,523,118,28,445,19,58,864,85,0.384,0.333,0.717,131,0.256,0.197,63,9,3544,1414,143,0.987,6,95,54,36.2,179,104,75,58.1,57,4,0,0.23,0,0,0,0,6,0,-11,113,-3,-84,5,-192,6,26,0.04,-1,1,20,0,-25,-1052,0.023,52,3,-7,-3,2,-29,4,-0.005,-128,-57,-20,-37,-7,-3,8,-26,-38,-29,-8,-25,4,-9,-27,-3,-0.001,-0.007,-0.008,-2,-0.007,-0.041,-5,4,-33,36,19,0.001,0,2,-10,-4.6,13,-1,14,-5.2,11,-5,-0.12,0,-13,12,0,24,-0.095,-6,-73,-24,-2,18,-85,-23,-18,-0.06,-1,-2,-19,6,-82,-167,-0.01,-6,-1,14,13,-3,-16,1,-0.011,-89,-35,-120,-60,-18,2,-20,-134,-87,0,-8,-15,-10,-31,78,2,-0.027,-0.015,-0.042,1,-0.021,-0.005,-13,-1,-18,-22,-2,0.002,-1,-16,5,5.7,-64,-56,-8,-6.7,-5,-4,-1
2012두산,두산,2012,3,3.58,133,68,62,0,47,0.523,1193 1/3,1053,66,491,57,802,519,475,1.29,9,12,80,14,5012,19215,0.243,198,23,99,34,17,57,4,0.26,4938,4379,524,1139,172,26,59,1540,490,102,40,362,12,54,659,129,0.352,0.322,0.674,132,0.286,0.201,78,11,3580,1472,124,0.985,12,101,68,40.2,167,116,51,69.5,62,10,2,-0.68,0,7,-8,0,1,0.057,4.666666667,-178,-30,15,-18,-53,-100,-88,-0.15,5,5,29,2,-158,-866,-0.033,0,-7,-11,-11,-2,-13,-2,-0.011,-266,-119,-90,-82,-24,-1,-33,-207,-88,29,1,-151,-5,-27,-140,11,-0.036,-0.032,-0.068,-1,0.007,0.011,-3,2,14,9,-8,0.001,6,5,-3,-2.3,-20,-14,-6,0,-8,7,-0.36,0,-12,13,0,-10,-0.096,9,41,-39,39,-10,-33,-50,-43,0.06,2,0,1,0,39,400,0.01,4,7,21,-2,13,12,4,-0.01,-48,-40,-117,-55,-28,2,-57,-250,-128,19,1,-20,-10,-8,-35,21,-0.052,-0.011,-0.063,0,-0.005,-0.02,-10,-2,27,8,20,0.002,-2,-23,27,15.5,-2,2,-4,1.8,14,-9,-2
2012롯데,롯데,2012,4,3.48,133,65,62,0,63,0.512,1190 1/3,1145,74,469,53,825,518,460,1.36,3,9,57,15,5070,19536,0.259,162,7,96,30,20,65,1,0.263,5043,4481,509,1179,202,16,73,1632,479,107,26,375,19,54,890,91,0.364,0.326,0.69,133,0.261,0.194,83,8,3571,1469,119,0.984,4,109,61,35.9,172,119,53,69.2,46,7,-1,-0.72,0,-7,6,0,18,-0.051,3.333333333,-111,-39,39,-5,38,-101,-94,-0.06,0,3,-10,0,-44,-88,-0.021,-40,-6,-6,-1,1,3,-3,-0.025,-191,-118,-204,-145,-24,-14,-38,-311,-187,46,-18,-91,0,-10,54,-33,-0.058,-0.032,-0.09,0,-0.029,-0.035,-23,-2,10,-107,-46,0.004,-3,21,1,-4.6,2,7,-5,3.3,-10,2,-0.62,0,3,-5,0,8,0.032,-7,-35,-36,11,-20,8,-91,-86,-0.01,-4,0,4,1,-90,406,-0.002,-25,-7,13,-6,-22,13,1,0,-27,-74,-60,-21,6,14,-74,-209,-73,1,3,46,4,-3,-37,19,-0.039,0.006,-0.033,0,-0.025,0.027,4,-1,-21,-104,35,-0.001,1,-43,-2,8.4,-5,-12,7,-5,-6,-2,1
2012KIA,KIA,2012,5,3.9,133,62,65,0,33,0.488,1183 2/3,1161,69,452,68,822,564,513,1.36,11,15,74,18,5101,19344,0.262,229,23,112,38,13,56,6,0.256,5131,4348,553,1112,197,19,54,1509,518,132,47,544,18,60,790,100,0.347,0.343,0.69,132,0.267,0.178,88,7,3551,1498,122,0.983,7,107,49,31.4,183,132,51,72.1,51,8,-1,-0.2,0,-8,2,0,-4,-0.038,20,44,-18,-5,-8,-98,-16,-17,0.01,4,5,15,8,110,17,0.005,22,5,20,13,-1,5,0,-0.013,2,-25,-74,-65,-7,4,-52,-220,-79,23,13,-10,7,1,8,-10,-0.048,-0.014,-0.062,-1,-0.013,-0.025,21,-1,60,98,-4,-0.003,2,-13,1,2.8,32,19,13,-2.7,3,1,-0.29,0,11,-11,0,-3,0.082,-20,-110,-6,-11,-5,35,-61,-47,-0.08,3,3,5,-16,-214,-740,-0.015,-25,4,-10,-10,-5,-2,2,0.009,-37,-43,16,29,14,-2,0,39,23,0,1,31,-3,-26,-83,0,0.012,0.01,0.022,0,0.017,0.038,-19,0,-60,-93,8,0.003,1,-36,0,5.1,-18,-4,-14,5.6,0,-7,1
2012넥센,넥센,2012,6,3.83,133,61,69,0,34,0.469,1187 1/3,1131,80,535,74,853,551,505,1.4,3,6,64,11,5116,19743,0.259,202,18,104,43,9,62,0,0.243,5021,4338,549,1056,189,28,102,1607,509,92,43,476,17,72,892,79,0.37,0.325,0.695,132,0.261,0.154,78,12,3562,1510,145,0.985,7,170,54,24.1,251,179,72,71.3,53,16,2,-0.53,0,10,-11,0,-32,0.08,16,-36,-1,-66,-2,23,-71,-63,-0.11,3,-4,20,-2,-79,-867,-0.009,8,-2,-11,-3,-7,-11,-1,-0.002,32,-5,37,-9,2,5,23,72,37,-11,11,16,1,21,-100,-15,0.017,0.002,0.019,0,0.009,-0.058,-18,4,48,15,3,0.004,-7,-5,-14,-3.9,97,80,17,7,6,5,-0.19,0,-1,2,0,27,-0.011,-14.33333333,5,-41,-13,-19,-2,-30,-31,0.01,-1,8,2,1,-36,-443,0.003,-7,4,22,-2,-1,7,-2,-0.017,-150,-109,-58,-100,-12,3,-8,-130,-67,8,-11,-20,0,-17,118,-25,-0.021,-0.017,-0.038,0,-0.016,-0.009,3,-9,-43,-20,-6,-0.001,5,15,0,-1.8,-37,-36,-1,-6.4,-9,6,-1
2012LG,LG,2012,7,4.02,133,57,72,0,64,0.442,1202,1235,65,422,71,735,580,537,1.38,1,11,48,10,5188,19186,0.272,203,35,116,41,23,57,6,0.261,5180,4539,544,1184,212,18,59,1609,512,80,50,458,19,53,857,107,0.354,0.332,0.686,132,0.253,0.197,96,12,3606,1558,125,0.982,8,126,65,34,197,140,57,71.1,61,6,-1,-0.13,0,-2,0,0,14,-0.008,8.333333333,62,-15,-90,0,-92,-40,-13,-0.03,-1,0,-9,-5,-21,-585,0.011,-3,7,18,7,3,5,0,-0.005,22,17,-35,-19,20,3,-35,-98,-27,-6,13,-5,4,4,-1,1,-0.023,-0.006,-0.029,-1,-0.018,0.028,-1,1,25,141,-6,0.001,-12,16,14,2.3,29,24,5,2.1,8,2,-1.08,0,2,1,0,-9,0.005,5.666666667,-106,-45,-48,-33,34,-126,-140,-0.14,-1,3,23,-4,-117,-672,-0.023,-3,14,-8,-18,-3,-22,0,-0.01,-112,-82,-109,-67,-31,-2,-27,-183,-113,4,-7,-23,-10,-5,-49,9,-0.034,-0.011,-0.045,0,-0.016,-0.023,5,2,17,-156,-36,-0.001,13,-14,-15,-3,-57,-53,-4,-6.1,-5,-11,0
2012한화,한화,2012,8,4.55,133,53,77,0,54,0.408,1172 1/3,1148,106,488,68,936,647,593,1.4,3,6,60,12,5092,19601,0.263,186,14,121,47,18,82,3,0.249,5057,4331,509,1077,208,12,71,1522,479,100,27,538,17,61,907,102,0.351,0.338,0.689,133,0.253,0.219,73,3,3517,1428,104,0.985,9,165,60,26.7,160,107,53,66.9,50,16,-2,-0.56,0,-6,5,0,18,-0.042,-2.666666667,-125,-22,-36,13,-2,-80,-74,-0.13,-1,0,16,0,-188,-841,-0.015,-37,-4,42,3,8,-9,1,-0.006,-28,-36,-59,-35,48,-2,-22,-57,-57,-30,2,50,3,-13,1,9,-0.011,0,-0.011,0,-0.034,0.007,-9,-1,-8,144,0,0.002,3,29,24,5.8,-16,7,-23,10.1,8,3,-0.32,0,10,-10,0,8,0.076,5.666666667,-17,-18,-27,-17,132,-36,-38,-0.04,-2,0,-2,3,13,120,-0.008,-6,4,-6,3,-7,26,-3,0.011,76,46,25,59,0,1,-11,28,28,55,-8,-9,4,-6,-37,-13,0.003,0.007,0.01,0,0.024,0.04,2,-6,17,-164,-23,-0.001,-1,-15,-22,-6.9,-15,-21,6,-6.6,-14,2,2
2011삼성,삼성,2011,1,3.35,133,79,50,0,74,0.612,1196 1/3,1191,92,395,38,841,513,445,1.33,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5,0.259,5145,4437,625,1150,193,20,95,1668,585,73,43,522,23,69,940,97,0.376,0.343,0.719,132,0.262,0.167,75,5,3589,1298,115,0.985,6,91,50,35.5,209,158,51,75.6,54,9,1,-0.59,0,0,-2,0,30,0.009,2.666666667,23,-11,-58,-16,-110,-62,-78,-0.03,-1,5,30,-4,-42,-433,0.003,-20,-1,3,-8,-3,-21,2,-0.013,-142,1,-56,-57,-19,6,-23,-133,-45,-38,-1,-99,-6,-6,24,-14,-0.03,-0.025,-0.055,-1,-0.003,-0.08,-17,-7,8,-71,-3,0.003,0,-43,-15,2.8,-4,0,-4,1.4,0,1,-1.04,0,15,-17,0,-1,0.122,30,-58,-38,-156,-2,46,-125,-121,-0.22,-1,5,-10,-2,-90,-544,-0.018,-22,-4,4,-13,2,-6,2,-0.003,67,-23,-4,-17,-21,-1,-28,-124,-20,44,1,37,6,8,127,3,-0.026,0.004,-0.022,0,-0.01,-0.019,12,2,90,1,-18,-0.002,-2,-8,9,4.4,38,33,5,2.8,-10,0,3
